file,final_path,source_archive,sha256,bytes,cells,code_cells,markdown_cells,embedded_outputs,executed_code_cells
RC_HAVOK_Base_Reproduction.ipynb,notebooks/01_core_reproduction/RC_HAVOK_Base_Reproduction.ipynb,Notebook.zip,bb7dbcce38f4c65092b9de4c3638754e61567e20183ea0a955ed87b6ab50f14b,28228,24,13,11,0,0
RC_HAVOK_Confirmation_Run_FULL.ipynb,notebooks/01_core_reproduction/RC_HAVOK_Confirmation_Run_FULL.ipynb,Notebook.zip,67d439456d0766dcd79d31393a0660834be1b6c37f6802aa4d020e806ea96fb0,280479,25,12,13,14,12
RC_HAVOK_Cubic_Chua_Extension.ipynb,notebooks/02_dynamics_extensions/RC_HAVOK_Cubic_Chua_Extension.ipynb,Notebook.zip,4dc4f63bed871669cc4d0b9ab9f19fea0454f7e1c32c40a857d0f46d0e986427,37620,32,19,13,0,0
RC_HAVOK_Lyapunov_Exponents.ipynb,notebooks/02_dynamics_extensions/RC_HAVOK_Lyapunov_Exponents.ipynb,Notebook.zip,7c84c3b571340a227419541e502d69e3f30eb45f9455f7ba36c4ada5617fe204,798878,25,12,13,16,12
RC_HAVOK_PWL_Seed_Stability.ipynb,notebooks/03_stability_sensitivity/RC_HAVOK_PWL_Seed_Stability.ipynb,Notebook.zip,9d7c734e2fcbf1097fa06eebb598de0dc437d6c1f00eed297c895d03cb1d2ba9,280128,12,10,2,11,10
RC_HAVOK_Cubic_Chua_Seed_Stability.ipynb,notebooks/03_stability_sensitivity/RC_HAVOK_Cubic_Chua_Seed_Stability.ipynb,Notebook.zip,8750ca6803f884cd26b19dd12de9be5b0ba06f6a50f53ec4f130c2feb790524a,34477,29,14,15,0,0
RC_HAVOK_Hyperparameter_Sensitivity_REVIEW_FIXED_executed.ipynb,notebooks/03_stability_sensitivity/RC_HAVOK_Hyperparameter_Sensitivity_REVIEW_FIXED_executed.ipynb,Notebook.zip,12c7e84ebb8bb38f185b845536d2d6a89e467aecf667dc19b00d1d673d9e4086,792882,18,9,9,32,9
RC_HAVOK_Noise_Robustness_V2_Q1.ipynb,notebooks/04_noise_robustness_mitigation/RC_HAVOK_Noise_Robustness_V2_Q1.ipynb,Notebook.zip,fa5bd1bc60f5ca897da7257b4789bd0c3f282182997b802b5de5b20478dd9e0b,47034,38,24,14,0,0
RC_HAVOK_Cubic_Chua_Noise_Robustness.ipynb,notebooks/04_noise_robustness_mitigation/RC_HAVOK_Cubic_Chua_Noise_Robustness.ipynb,Notebook.zip,a6c93f722f7da9b8f5c7cb9dc1fcd7c3b7d7f01a446d14308966ae8aa7ed66fc,38062,39,19,20,0,0
RC_HAVOK_Noise_Mitigation_Regularized_Fixed.ipynb,notebooks/04_noise_robustness_mitigation/RC_HAVOK_Noise_Mitigation_Regularized_Fixed.ipynb,Notebook.zip,ed57e59b5a63cb3e087d330490c5bd4e614678b59cd7b075f49d2da60784f5fb,683249,39,19,20,20,19
RC_HAVOK_BInflation_Spearman.ipynb,notebooks/04_noise_robustness_mitigation/RC_HAVOK_BInflation_Spearman.ipynb,Notebook.zip,e8fee65768f17f40fa8f36dd60fadf7acb1976bf0ebadebc4224058c9fd8f717,481493,11,9,2,11,6
RC_HAVOK_AB_Rounding_Ablation_FINAL.ipynb,notebooks/05_ablation_component_baselines/RC_HAVOK_AB_Rounding_Ablation_FINAL.ipynb,Notebook.zip,478d5bd1953c0f547fe5279572ff1d9b0b67b409b3d62de85a7c8128b0202ba0,343115,16,14,2,16,14
RC_HAVOK_ESN_Only_Baseline.ipynb,notebooks/05_ablation_component_baselines/RC_HAVOK_ESN_Only_Baseline.ipynb,Notebook.zip,2cca0ce34165ebb7747564b4c395daeb181ee2b61464fcd23859083adcbd827a,220670,11,9,2,10,9
RC_HAVOK_HAVOK_Only_Baseline.ipynb,notebooks/05_ablation_component_baselines/RC_HAVOK_HAVOK_Only_Baseline.ipynb,Notebook.zip,9075ac5dd29858d82d072bd6e54d5f0ba74bc4899ea3aef18deff0b2eebe2a6a,232084,12,10,2,11,10
